match,decision,turn,seat,agent,action,value,complete,decision_seconds,decision_limit_seconds,deadline_hit,lethal_proof_seconds,total_search_seconds,first_found_seconds,stabilized_seconds,remaining_search_seconds,strategy_wave,strategy_focus_position,strategy_focus_count
5,5,1,1,mega_starmie,"{""kind"":""play"",""parts"":[""[1,{\""type\"":7},[[2,{\""id\"":1030,\""playerIndex\"":1}]]]""]}",0.06,True,0.10481659998185933,120.0,False,0.031000000017229468,0.045999999972991645,0.045999999972991645,0.045999999972991645,0.0,widening,,0
5,6,1,1,mega_starmie,"{""kind"":""end"",""parts"":[""[1,{\""type\"":14},[]]""]}",0.0,True,0.09285830002045259,120.0,False,0.031000000017229468,0.0470000000204891,0.0,0.0,0.0470000000204891,first,,0
5,7,2,0,mega_starmie,"{""kind"":""play"",""parts"":[""[0,{\""type\"":7},[[2,{\""id\"":1086,\""playerIndex\"":0}]]]""]}",0.4565080064300386,True,14.295256199955475,120.0,False,0.40600000001722947,13.827999999979511,10.186999999976251,10.186999999976251,3.6410000000032596,first,1,3
5,8,2,0,mega_starmie,"{""kind"":""card"",""parts"":[""[{\""playerIndex\"":0,\""type\"":3},[[1,{\""id\"":1030,\""playerIndex\"":0}]]]"",""[{\""playerIndex\"":0,\""type\"":3},[[1,{\""id\"":1030,\""playerIndex\"":0}]]]""]}",0.4264694032504846,True,7.917874000035226,120.0,False,0.2970000000204891,7.577999999979511,2.937999999965541,2.937999999965541,4.64000000001397,widening,,0
5,9,2,0,mega_starmie,"{""kind"":""play"",""parts"":[""[0,{\""type\"":7},[[2,{\""id\"":1122,\""playerIndex\"":0}]]]""]}",0.36100131814410186,True,2.9432601000298746,120.0,False,0.3279999999795109,2.5469999999622814,1.7649999999557622,1.7649999999557622,0.7820000000065193,first,1,2
5,10,2,0,mega_starmie,"{""kind"":""card"",""parts"":[""[0,{\""playerIndex\"":0,\""type\"":3},[[12,{\""id\"":1223,\""playerIndex\"":0}]]]""]}",0.21799422594551993,True,3.8057236000313424,120.0,False,0.34399999998277053,3.4369999999762513,1.7189999999827705,1.7189999999827705,1.7179999999934807,widening,,0
5,11,2,0,mega_starmie,"{""kind"":""play"",""parts"":[""[0,{\""type\"":7},[[2,{\""id\"":1120,\""playerIndex\"":0}]]]""]}",0.15549422594551993,True,1.95505350001622,120.0,False,0.31200000003445894,1.5940000000409782,1.5940000000409782,1.5940000000409782,0.0,widening,,2
5,12,2,0,mega_starmie,"{""kind"":""end"",""parts"":[""[0,{\""type\"":14},[]]""]}",0.0,True,0.7501879999763332,120.0,False,0.1559999999590218,0.5780000000377186,0.5470000000204891,0.5470000000204891,0.031000000017229468,first,,2
5,13,3,1,mega_starmie,"{""kind"":""attach"",""parts"":[""[1,{\""type\"":8},[[2,{\""id\"":3,\""playerIndex\"":1}],[4,{\""appearThisTurn\"":false,\""energies\"":[3],\""energyCards\"":[{\""id\"":3,\""playerIndex\"":1}],\""hp\"":70,\""id\"":1030,\""maxHp\"":70,\""playerIndex\"":1,\""preEvolution\"":[],\""tools\"":[]}]]]""]}",0.7492458683325512,True,6.824201100040227,120.0,False,0.32900000002700835,6.4689999999827705,3.437999999965541,3.437999999965541,3.0310000000172295,widening,,2
5,14,3,1,mega_starmie,"{""kind"":""play"",""parts"":[""[1,{\""type\"":7},[[2,{\""id\"":1227,\""playerIndex\"":1}]]]""]}",0.7301982492849322,True,0.9774234000360593,120.0,False,0.061999999976251274,0.9060000000172295,0.18800000002374873,0.18800000002374873,0.7179999999934807,first,1,2
